Symbol,Timeframe,RangeStartHour,RangeStartMinute,RangeStartHHMM,RangeDur,StratMode,RRR,RiskPct,MC_Seed,MC_Stress,MC_SpreadMult,MC_SlipPts,MC_DelayMs,MC_FailProb,MC_SignalsTotal,MC_SignalsSkipped,MC_SkipRate,Trades,WinTrades,WinRatePct,NetProfit,GrossProfit,GrossLoss,ProfitFactor,MaxDD_Pct,Sharpe,AvgSpreadPts_Exec,MC_EntryBufferPts_LastSignal,DeviationPts,RangeSizePts_Avg,RangeSizePts_Max,DaysWithRange,MC_SpreadMult_Min,MC_SpreadMult_Max,MC_SlipPts_Min,MC_SlipPts_Max,MC_DelayMs_Min,MC_DelayMs_Max,MC_FailProb_Min,MC_FailProb_Max,EntryFills,SlipFillVsRefPts_Avg,SlipFillVsReqPts_Avg,SlipFillVsRefPts_Max,SlipFillVsReqPts_Max,Profit_Long,Profit_Short,WinRate_Long,WinRate_Short,MaxConsecLosses
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,329,2.00,1.1697,61,11,0.067687,514,26,0.050584,487,233,47.84,2135.78,22794.02,-20658.24,1.10,16.33,1.71,185.80,94.94,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,61.00,0.00,61.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,333,1.00,1.0687,93,114,0.030714,511,21,0.041096,488,235,48.16,2360.88,23495.57,-21134.69,1.11,15.84,1.87,185.77,106.75,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,93.00,0.00,93.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,325,3.00,1.2683,504,1492,0.073946,514,31,0.060311,483,228,47.20,918.91,20069.80,-19150.89,1.05,16.95,0.81,185.99,557.66,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,483,0.00,504.00,0.00,504.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,1,1.00,1.0025,113,116,0.040437,510,22,0.043137,486,234,48.15,2832.15,23782.87,-20950.72,1.14,15.40,2.21,185.47,113.50,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,113.00,0.00,113.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,493,2.50,1.3269,474,626,0.011090,489,4,0.008180,485,228,47.01,1060.66,20320.26,-19259.60,1.06,15.19,0.91,186.01,539.38,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,474.00,0.00,474.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,331,1.50,1.1195,243,90,0.010916,495,6,0.012121,487,233,47.84,2497.25,23110.82,-20613.57,1.12,14.76,1.96,185.85,266.91,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,243.00,0.00,243.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,159,3.00,1.1360,234,595,0.083670,532,47,0.088346,484,227,46.90,1293.95,20532.42,-19238.47,1.07,13.49,1.11,185.99,261.20,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,484,0.00,234.00,0.00,234.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,499,1.00,1.1018,183,413,0.025852,505,17,0.033663,486,229,47.12,2645.01,23117.70,-20472.69,1.13,10.92,2.09,185.79,203.36,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,183.00,0.00,183.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,161,2.50,1.1119,23,631,0.030537,501,12,0.023952,487,229,47.02,1670.15,22131.59,-20461.44,1.08,15.79,1.38,185.98,45.38,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,23.00,0.00,23.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,167,1.00,1.0356,3,415,0.035575,505,15,0.029703,489,233,47.65,3515.32,24951.49,-21436.17,1.16,14.42,2.64,185.65,10.12,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,489,0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0
